"","id10","COMUNA","dec10","N2001","N2002","N2003","N2004","N2005","N2006","N2007","N2008","N2009","N2010","N2011","N2012","N2013","N2014","N2015","N2016","N2017"
"6978","H269",8416,"Catarata, no especificada",19,12,18,20,19,8,4,9,9,4,4,3,8,6,6,7,5
"6979","H269",9101,"Catarata, no especificada",284,297,236,217,183,184,183,19,312,56,26,47,8,5,87,1,5
"6980","H269",9106,"Catarata, no especificada",12,4,5,8,12,8,4,2,2,3,15,2,1,1,2,2,4
"6981","H269",9116,"Catarata, no especificada",3,8,6,4,9,5,5,2,6,4,4,2,3,3,1,6,4
"6982","H269",9201,"Catarata, no especificada",47,23,20,57,36,17,23,17,18,5,7,13,12,4,10,5,7
"6983","H269",9202,"Catarata, no especificada",13,1,3,22,23,21,21,32,11,2,3,5,2,5,9,2,1
"6984","H330",8301,"Desprendimiento de la retina con ruptura",2,2,1,4,2,1,1,1,1,3,2,1,3,2,1,12,14
"6985","H332",10301,"Desprendimiento seroso de la retina",15,16,9,29,33,39,17,13,16,5,22,18,38,24,22,24,12
"6986","H332",1101,"Desprendimiento seroso de la retina",11,11,16,23,22,12,4,10,16,11,22,16,9,2,1,1,3
"6987","H332",11101,"Desprendimiento seroso de la retina",7,3,3,8,2,7,3,5,6,2,6,5,12,4,5,5,9
"6988","H332",12101,"Desprendimiento seroso de la retina",17,15,22,22,19,6,5,12,12,13,19,16,29,31,27,23,33
"6989","H332",13101,"Desprendimiento seroso de la retina",42,47,45,47,27,27,10,15,23,10,3,4,10,6,7,3,4
"6990","H332",13110,"Desprendimiento seroso de la retina",50,42,43,27,20,12,11,13,12,11,2,2,2,4,3,1,1
"6991","H332",13113,"Desprendimiento seroso de la retina",13,12,16,10,12,10,10,16,9,9,3,1,2,4,6,5,1
"6992","H332",13114,"Desprendimiento seroso de la retina",43,45,45,47,38,27,23,16,19,23,5,11,11,14,4,6,3
"6993","H332",13115,"Desprendimiento seroso de la retina",11,6,5,9,10,8,16,6,7,7,4,2,5,4,2,2,1
"6994","H332",13117,"Desprendimiento seroso de la retina",9,16,14,21,25,13,25,27,15,13,11,8,6,5,8,3,2
"6995","H332",13119,"Desprendimiento seroso de la retina",27,45,41,60,40,29,30,14,10,14,3,2,3,2,8,5,3
"6996","H332",13120,"Desprendimiento seroso de la retina",33,37,35,55,30,36,29,22,36,33,12,7,19,13,9,3,2
"6997","H332",13122,"Desprendimiento seroso de la retina",26,30,27,33,31,44,57,49,40,43,10,14,29,18,22,15,3
"6998","H332",13123,"Desprendimiento seroso de la retina",29,18,21,34,35,23,20,16,23,23,7,5,9,13,9,1,1
"6999","H332",13124,"Desprendimiento seroso de la retina",35,26,18,29,16,13,17,23,27,15,18,21,16,14,14,6,2
"7000","H332",13126,"Desprendimiento seroso de la retina",23,6,34,16,23,13,34,24,11,13,7,16,11,11,15,4,3
"7001","H332",13128,"Desprendimiento seroso de la retina",19,22,16,13,14,21,23,33,13,13,7,11,11,8,4,3,3
"7002","H332",13301,"Desprendimiento seroso de la retina",6,6,5,6,9,16,11,6,4,3,1,2,1,1,2,1,1
"7003","H332",13501,"Desprendimiento seroso de la retina",8,13,12,11,16,17,9,13,20,12,10,15,14,17,7,4,4
"7004","H332",13601,"Desprendimiento seroso de la retina",4,9,8,8,8,9,13,9,7,6,9,4,7,7,2,4,1
"7005","H332",13605,"Desprendimiento seroso de la retina",4,2,6,14,9,7,11,15,6,8,7,9,4,12,2,4,1
"7006","H332",4101,"Desprendimiento seroso de la retina",24,15,41,34,20,28,40,38,33,45,65,45,10,2,12,13,1
"7007","H332",5101,"Desprendimiento seroso de la retina",49,60,60,59,67,39,54,28,56,29,17,27,34,21,28,13,5
"7008","H332",5601,"Desprendimiento seroso de la retina",12,7,10,16,7,8,14,11,5,8,3,3,5,5,6,6,2
"7009","H332",7101,"Desprendimiento seroso de la retina",17,20,17,25,23,38,29,8,2,5,2,1,3,4,1,1,1
"7010","H332",8101,"Desprendimiento seroso de la retina",29,32,32,31,26,26,39,33,37,39,39,35,26,18,36,40,42
"7011","H332",8102,"Desprendimiento seroso de la retina",5,5,15,6,9,13,12,7,12,14,12,12,13,12,15,14,16
"7012","H332",8103,"Desprendimiento seroso de la retina",8,6,9,9,5,11,11,6,14,7,19,12,12,12,9,6,15
"7013","H332",8106,"Desprendimiento seroso de la retina",4,8,12,7,6,2,4,8,2,14,10,9,13,9,15,11,17
"7014","H332",8108,"Desprendimiento seroso de la retina",4,10,8,4,3,9,3,9,7,11,11,11,9,26,18,16,15
"7015","H332",8110,"Desprendimiento seroso de la retina",46,19,28,32,19,24,8,15,21,22,26,25,14,18,18,16,25
"7016","H332",8111,"Desprendimiento seroso de la retina",5,1,4,6,9,5,8,1,5,2,3,7,7,7,4,3,13
"7017","H332",8202,"Desprendimiento seroso de la retina",3,1,1,6,6,6,7,6,8,8,7,11,12,9,7,3,6
"7018","H332",8203,"Desprendimiento seroso de la retina",1,5,4,3,1,3,1,5,3,3,5,12,8,9,7,1,4
"7019","H332",8205,"Desprendimiento seroso de la retina",5,3,1,5,4,2,6,4,2,2,5,5,4,12,5,7,9
"7020","H332",8301,"Desprendimiento seroso de la retina",17,7,19,16,15,18,33,44,44,31,31,48,39,42,35,28,27
"7021","H332",8304,"Desprendimiento seroso de la retina",1,2,2,3,3,1,5,3,2,7,6,8,5,3,4,4,4
"7022","H332",8401,"Desprendimiento seroso de la retina",16,22,31,29,19,16,23,31,25,28,35,36,40,31,37,39,36
"7023","H332",8416,"Desprendimiento seroso de la retina",2,1,6,2,1,4,5,2,7,11,4,4,4,11,8,5,12
"7024","H332",9101,"Desprendimiento seroso de la retina",22,31,26,39,31,47,34,16,33,13,4,13,23,26,19,1,2
"7025","H353",10101,"Degeneracion de la macula y del polo posterior del ojo",1,1,2,1,1,2,3,3,2,3,2,4,1,1,4,6,1
"7026","H353",13114,"Degeneracion de la macula y del polo posterior del ojo",6,3,4,3,3,23,33,21,59,34,9,21,35,42,74,11,14
"7027","H353",13123,"Degeneracion de la macula y del polo posterior del ojo",6,3,2,2,2,18,25,16,48,50,7,20,39,27,69,1,3
"7028","H353",13132,"Degeneracion de la macula y del polo posterior del ojo",3,1,5,2,3,4,7,8,22,6,2,3,1,7,16,7,4
"7029","H402",9120,"Glaucoma primario de angulo cerrado",1,7,6,7,9,8,4,6,3,2,1,2,5,6,1,6,2
"7030","H409",10301,"Glaucoma, no especificado",40,33,40,58,28,45,19,10,20,19,14,18,20,10,18,15,8
"7031","H409",1101,"Glaucoma, no especificado",9,8,2,18,4,19,9,17,16,9,13,10,7,8,6,3,2
"7032","H409",12101,"Glaucoma, no especificado",7,11,8,11,12,11,21,18,14,3,13,16,11,15,15,13,10
"7033","H409",13101,"Glaucoma, no especificado",9,18,20,13,5,11,11,7,12,3,7,5,8,13,5,4,3
"7034","H409",13110,"Glaucoma, no especificado",73,82,31,45,24,9,5,7,18,8,4,3,1,5,2,1,1
"7035","H409",13114,"Glaucoma, no especificado",14,19,20,14,14,23,18,18,27,15,10,9,9,6,7,3,1
"7036","H409",13119,"Glaucoma, no especificado",18,12,10,7,8,13,17,12,10,13,5,5,7,10,2,4,1
"7037","H409",13122,"Glaucoma, no especificado",29,20,12,11,24,46,39,27,24,37,12,9,15,23,28,2,1
"7038","H409",13124,"Glaucoma, no especificado",7,17,12,12,14,14,7,9,4,3,6,6,6,2,5,1,2
"7039","H409",13125,"Glaucoma, no especificado",2,6,3,7,5,4,2,4,6,1,1,4,2,2,1,3,1
"7040","H409",13126,"Glaucoma, no especificado",11,6,3,9,7,7,4,5,7,10,5,2,3,1,2,3,2
"7041","H409",13127,"Glaucoma, no especificado",6,5,5,6,16,5,13,4,4,1,1,3,5,3,6,4,2
"7042","H409",13201,"Glaucoma, no especificado",125,98,44,71,39,4,8,7,9,6,4,4,1,7,2,6,3
"7043","H409",13501,"Glaucoma, no especificado",4,1,8,3,5,5,7,6,5,11,7,5,3,1,2,2,1
"7044","H409",2101,"Glaucoma, no especificado",13,18,9,14,14,4,26,12,19,27,18,14,19,9,3,2,7
"7045","H409",2201,"Glaucoma, no especificado",9,5,5,5,3,4,2,5,7,4,7,2,9,2,2,2,1
"7046","H409",5101,"Glaucoma, no especificado",127,122,92,104,347,313,285,298,292,285,250,75,39,30,21,11,6
"7047","H409",5109,"Glaucoma, no especificado",114,79,67,61,116,94,85,81,48,26,9,10,7,3,2,2,1
"7048","H409",5601,"Glaucoma, no especificado",1,7,2,7,9,8,14,15,13,26,14,6,11,6,4,4,2
"7049","H409",8101,"Glaucoma, no especificado",42,23,28,27,23,28,26,50,50,49,34,19,25,20,25,30,4
"7050","H409",8102,"Glaucoma, no especificado",9,9,9,7,9,9,7,9,18,10,10,3,9,10,6,5,4
"7051","H409",8103,"Glaucoma, no especificado",10,8,17,4,10,13,3,17,10,12,7,7,14,9,10,6,2
"7052","H409",8106,"Glaucoma, no especificado",6,2,4,2,6,5,7,7,13,7,6,2,3,2,2,4,2
"7053","H409",8108,"Glaucoma, no especificado",7,6,6,4,5,4,11,7,15,8,12,10,18,10,17,1,3
"7054","H409",8110,"Glaucoma, no especificado",40,21,30,24,20,24,13,17,22,16,27,13,23,26,14,9,10
"7055","H409",8111,"Glaucoma, no especificado",5,6,3,8,5,2,5,5,10,3,3,3,4,5,4,8,8
"7056","H409",8301,"Glaucoma, no especificado",18,11,9,10,15,16,14,16,20,11,17,10,22,7,3,5,5
"7057","H409",8401,"Glaucoma, no especificado",11,14,23,12,12,23,36,38,27,25,28,23,19,25,20,15,23
"7058","H409",8416,"Glaucoma, no especificado",5,4,11,6,8,2,3,9,2,6,1,4,3,6,4,4,3
"7059","H431",10301,"Hemorragia del vitreo",6,8,6,16,13,20,17,8,12,5,24,12,8,18,11,19,11
"7060","H431",13103,"Hemorragia del vitreo",5,5,4,4,4,5,5,8,5,5,2,2,6,3,3,1,1
"7061","H431",13124,"Hemorragia del vitreo",5,8,9,13,5,3,8,6,2,7,5,2,2,4,2,1,1
"7062","H431",5101,"Hemorragia del vitreo",5,13,23,16,15,23,13,12,24,14,17,16,11,16,18,3,1
"7063","H431",5109,"Hemorragia del vitreo",12,19,9,9,9,6,8,2,2,1,2,2,1,2,4,2,3
"7064","H431",5601,"Hemorragia del vitreo",3,3,5,1,6,5,3,5,6,5,12,4,10,5,9,12,10
"7065","H431",8101,"Hemorragia del vitreo",2,15,10,13,17,16,16,15,17,23,10,19,11,18,18,14,21
"7066","H431",8108,"Hemorragia del vitreo",2,5,1,3,1,1,7,5,14,6,5,8,7,10,6,8,9
"7067","H431",8110,"Hemorragia del vitreo",8,6,8,15,7,7,11,5,4,8,7,5,1,3,3,8,9
"7068","H431",8401,"Hemorragia del vitreo",5,10,6,15,9,6,11,10,8,5,5,10,7,7,7,12,13
"7069","H440",8101,"Endoftalmitis purulenta",5,2,5,2,3,1,6,3,1,3,1,1,2,3,2,3,1
"7070","H492",5101,"Paralisis del nervio motor ocular externo [vi par]",1,1,3,1,1,1,3,1,3,1,2,3,2,3,2,4,3
"7071","H509",1101,"Estrabismo, no especificado",7,10,9,10,4,6,7,15,13,7,9,4,4,3,3,1,1
"7072","H509",12101,"Estrabismo, no especificado",18,11,21,20,31,15,19,16,11,12,9,7,11,2,2,8,8
"7073","H509",13101,"Estrabismo, no especificado",15,11,11,9,8,3,4,7,7,11,7,14,29,11,9,5,2
"7074","H509",13104,"Estrabismo, no especificado",12,20,21,9,8,9,12,13,13,4,4,9,8,4,5,3,1
"7075","H509",13107,"Estrabismo, no especificado",4,8,6,6,6,11,12,11,6,5,8,2,7,6,7,1,3
"7076","H509",13110,"Estrabismo, no especificado",20,17,19,10,6,4,5,7,6,7,3,1,15,8,4,4,3
"7077","H509",13116,"Estrabismo, no especificado",2,5,3,4,1,3,4,6,7,9,6,12,1,1,2,3,1
"7078","H509",13119,"Estrabismo, no especificado",18,17,19,10,11,12,14,5,8,8,17,12,10,12,9,4,6
"7079","H509",13120,"Estrabismo, no especificado",22,18,14,22,13,18,19,12,14,8,12,8,7,9,10,1,6
"7080","H509",13122,"Estrabismo, no especificado",33,34,34,28,34,35,26,25,28,36,29,23,14,11,7,3,1
"7081","H509",13123,"Estrabismo, no especificado",10,9,7,10,2,10,10,5,3,11,7,9,11,3,5,1,2
"7082","H509",13125,"Estrabismo, no especificado",8,21,14,10,8,12,14,20,12,10,6,8,8,1,8,5,3
"7083","H509",13127,"Estrabismo, no especificado",16,16,17,8,5,12,20,7,6,6,6,5,9,8,2,7,6
"7084","H509",13128,"Estrabismo, no especificado",10,11,12,8,2,6,8,5,5,2,3,5,3,2,3,2,1
"7085","H509",13201,"Estrabismo, no especificado",32,28,33,8,7,4,13,9,9,9,9,4,12,6,6,1,4
"7086","H509",13301,"Estrabismo, no especificado",4,14,11,4,2,4,8,11,7,6,7,2,8,7,5,8,5
"7087","H509",13302,"Estrabismo, no especificado",6,4,7,8,6,7,5,5,5,2,5,1,6,5,3,2,2
"7088","H509",13401,"Estrabismo, no especificado",10,16,24,3,4,3,5,16,14,16,11,18,1,4,6,3,2
"7089","H509",2101,"Estrabismo, no especificado",37,34,50,29,30,36,23,28,31,20,16,18,25,28,12,15,13
"7090","H509",2201,"Estrabismo, no especificado",5,7,11,7,6,5,7,7,6,5,12,3,8,2,5,3,1
"7091","H509",3101,"Estrabismo, no especificado",18,18,18,16,13,19,18,14,7,13,9,7,1,1,2,1,2
"7092","H509",5101,"Estrabismo, no especificado",56,39,43,66,58,28,43,44,28,25,20,7,15,16,6,3,2
"7093","H509",5109,"Estrabismo, no especificado",23,30,29,32,14,9,17,13,8,9,5,6,9,11,3,9,3
"7094","H509",8101,"Estrabismo, no especificado",28,25,27,31,42,47,31,31,35,21,25,10,12,14,16,11,9
"7095","H509",8102,"Estrabismo, no especificado",6,15,6,5,6,9,10,10,12,6,5,4,6,8,4,4,1
"7096","H509",8106,"Estrabismo, no especificado",3,1,3,5,5,5,9,2,4,4,3,1,5,3,2,1,1
"7097","H509",8108,"Estrabismo, no especificado",6,7,8,6,6,12,16,32,21,8,6,3,13,8,7,6,7
"7098","H509",8110,"Estrabismo, no especificado",28,25,33,21,11,9,8,14,9,10,5,5,7,8,5,5,3
"7099","H509",8202,"Estrabismo, no especificado",1,3,2,1,3,3,1,6,2,2,3,4,4,6,3,5,4
"7100","H509",8301,"Estrabismo, no especificado",11,15,23,18,12,8,11,14,8,4,4,14,25,16,6,4,7
"7101","H509",9101,"Estrabismo, no especificado",33,29,39,24,12,12,3,1,13,11,12,4,15,15,8,1,2
"7102","H521",13101,"Miopia",2,1,4,4,3,1,5,8,7,6,9,16,64,62,3,3,2
"7103","H605",2101,"Otitis externa aguda, no infecciosa",7,5,5,9,11,6,8,10,6,3,4,4,2,1,2,3,1
"7104","H650",6101,"Otitis media aguda serosa",2,1,1,6,5,6,1,1,3,1,1,2,1,3,2,2,1
"7105","H652",8101,"Otitis media cronica serosa",12,15,12,9,7,7,4,4,2,6,5,5,5,7,4,2,3
"7106","H652",8110,"Otitis media cronica serosa",3,3,3,9,5,8,6,6,3,3,5,3,4,4,7,1,1
"7107","H653",5109,"Otitis media cronica mucoide",11,9,13,14,10,2,3,7,12,4,8,7,4,7,6,4,2
"7108","H659",13101,"Otitis media no supurativa, sin otra especificacion",2,1,6,2,5,6,8,4,7,2,3,5,2,2,5,4,2
"7109","H659",13120,"Otitis media no supurativa, sin otra especificacion",2,2,4,4,3,2,4,2,2,2,3,6,4,4,4,1,2
"7110","H669",10101,"Otitis media, no especificada",34,35,50,51,52,48,59,51,46,45,45,35,39,34,39,27,22
"7111","H669",10109,"Otitis media, no especificada",3,4,11,3,4,3,1,3,5,1,6,2,5,3,1,2,1
"7112","H669",10202,"Otitis media, no especificada",9,1,5,8,10,7,12,11,10,7,17,7,9,4,5,2,6
"7113","H669",10301,"Otitis media, no especificada",23,18,6,17,20,11,9,5,3,2,11,28,27,13,5,4,5
"7114","H669",1101,"Otitis media, no especificada",10,13,14,16,15,15,5,12,12,7,15,6,7,9,11,9,13
"7115","H669",11101,"Otitis media, no especificada",11,19,10,9,9,7,3,3,3,20,20,17,34,28,17,18,23
"7116","H669",11201,"Otitis media, no especificada",3,4,2,4,2,2,3,3,2,5,7,5,7,7,4,7,9
"7117","H669",12101,"Otitis media, no especificada",28,49,45,47,73,57,43,33,29,33,17,29,23,32,26,14,21
"7118","H669",13101,"Otitis media, no especificada",45,37,38,41,38,25,46,31,36,35,23,21,43,18,31,41,42
"7119","H669",13102,"Otitis media, no especificada",8,7,4,6,13,9,7,1,5,11,5,2,4,7,5,3,7
"7120","H669",13103,"Otitis media, no especificada",19,19,20,29,21,22,32,14,21,15,15,13,8,16,10,16,23
"7121","H669",13104,"Otitis media, no especificada",32,27,24,25,15,6,13,8,10,7,3,9,6,4,10,11,20
"7122","H669",13105,"Otitis media, no especificada",18,16,39,41,76,65,58,55,52,31,20,41,28,24,32,33,50
"7123","H669",13106,"Otitis media, no especificada",24,15,20,13,25,20,17,8,9,14,21,3,10,14,14,13,10
"7124","H669",13107,"Otitis media, no especificada",18,18,13,9,9,10,6,6,6,6,6,10,13,6,4,9,13
"7125","H669",13109,"Otitis media, no especificada",9,10,8,22,15,20,17,21,13,9,5,12,6,6,5,14,6
"7126","H669",13110,"Otitis media, no especificada",32,32,32,31,26,29,30,32,28,27,20,21,26,16,19,18,16
"7127","H669",13111,"Otitis media, no especificada",18,14,15,33,27,32,16,22,20,6,2,5,5,8,6,6,10
"7128","H669",13112,"Otitis media, no especificada",17,20,17,14,17,36,15,25,26,16,4,9,8,9,5,10,13
"7129","H669",13113,"Otitis media, no especificada",15,11,20,13,17,8,9,15,12,11,3,7,4,14,6,3,1
"7130","H669",13114,"Otitis media, no especificada",38,33,35,35,39,24,20,34,35,24,16,20,15,19,17,16,17
"7131","H669",13115,"Otitis media, no especificada",21,15,10,21,16,9,15,17,16,9,6,8,9,7,10,13,8
"7132","H669",13116,"Otitis media, no especificada",12,11,40,36,51,37,49,38,19,30,14,31,11,16,32,18,18
"7133","H669",13117,"Otitis media, no especificada",14,22,25,15,25,10,16,17,16,13,14,12,7,13,9,10,9
"7134","H669",13118,"Otitis media, no especificada",40,27,20,16,19,19,18,19,18,29,19,11,8,4,16,6,1
"7135","H669",13119,"Otitis media, no especificada",36,32,42,59,53,40,38,37,40,32,31,34,35,34,26,26,28
"7136","H669",13120,"Otitis media, no especificada",29,19,19,26,25,18,25,15,18,28,17,15,15,13,6,14,11
"7137","H669",13121,"Otitis media, no especificada",5,6,23,37,33,42,26,16,26,23,12,18,19,25,16,21,18
"7138","H669",13122,"Otitis media, no especificada",60,54,49,53,45,48,47,51,56,57,36,23,12,17,23,8,18
"7139","H669",13123,"Otitis media, no especificada",15,15,22,14,20,17,19,22,14,20,8,7,7,2,10,5,5
"7140","H669",13124,"Otitis media, no especificada",24,28,24,32,33,38,26,27,25,25,21,33,22,25,21,31,14
"7141","H669",13125,"Otitis media, no especificada",17,23,16,18,14,7,13,13,16,11,1,13,12,13,11,25,17
"7142","H669",13126,"Otitis media, no especificada",16,14,24,25,22,15,14,13,16,12,15,12,12,14,8,12,19
"7143","H669",13127,"Otitis media, no especificada",26,31,26,24,10,5,16,8,18,7,1,8,18,26,14,17,20
"7144","H669",13128,"Otitis media, no especificada",15,17,20,14,19,16,27,19,29,15,11,22,17,18,17,16,17
"7145","H669",13129,"Otitis media, no especificada",14,1,29,22,25,46,21,29,17,14,5,16,13,12,12,12,15
"7146","H669",13130,"Otitis media, no especificada",7,10,20,27,29,18,19,21,16,10,8,9,6,13,13,9,15
"7147","H669",13131,"Otitis media, no especificada",13,7,9,9,7,12,9,10,13,6,6,5,6,2,6,6,4
"7148","H669",13132,"Otitis media, no especificada",15,9,11,11,9,7,10,7,6,12,6,7,4,4,4,6,6
"7149","H669",13201,"Otitis media, no especificada",55,63,75,52,46,37,63,54,62,44,27,44,50,46,58,84,91
"7150","H669",13301,"Otitis media, no especificada",18,16,11,8,5,5,5,6,3,9,2,6,9,4,10,15,11
"7151","H669",13401,"Otitis media, no especificada",17,23,50,68,87,94,77,67,56,40,38,36,37,61,39,49,56
"7152","H669",13402,"Otitis media, no especificada",6,4,3,12,18,25,21,23,18,7,12,11,8,4,4,16,13
"7153","H669",13404,"Otitis media, no especificada",6,2,7,12,18,15,8,11,12,6,5,8,11,11,6,16,6
"7154","H669",13501,"Otitis media, no especificada",11,20,20,21,19,18,12,11,14,6,22,12,11,9,9,9,8
"7155","H669",13601,"Otitis media, no especificada",22,19,6,13,15,7,9,10,7,7,4,14,2,7,10,2,8
"7156","H669",13604,"Otitis media, no especificada",5,5,4,5,6,8,7,6,6,7,8,6,9,6,7,3,6
"7157","H669",13605,"Otitis media, no especificada",13,8,9,8,15,6,9,15,9,13,4,8,5,10,8,11,5
"7158","H669",2101,"Otitis media, no especificada",55,58,45,44,54,55,53,64,56,38,51,28,38,24,23,12,21
"7159","H669",2201,"Otitis media, no especificada",17,18,16,20,24,10,11,15,15,1,6,9,8,6,3,7,11
"7160","H669",3101,"Otitis media, no especificada",15,32,23,24,31,34,32,28,10,18,14,5,24,9,10,20,16
"7161","H669",3301,"Otitis media, no especificada",6,10,12,18,20,18,16,21,8,10,8,17,17,18,23,16,16
"7162","H669",4101,"Otitis media, no especificada",6,16,26,25,16,3,9,27,27,23,25,15,13,13,12,13,10
"7163","H669",4102,"Otitis media, no especificada",7,12,11,8,8,9,5,8,14,19,7,8,7,7,13,15,7
"7164","H669",4301,"Otitis media, no especificada",7,8,6,9,21,46,49,35,28,16,26,11,18,12,11,9,9
"7165","H669",5101,"Otitis media, no especificada",42,54,60,41,53,52,38,26,18,23,31,24,52,19,22,31,31
"7166","H669",5109,"Otitis media, no especificada",27,33,42,30,30,37,20,24,9,11,12,18,16,21,19,13,8
"7167","H669",5301,"Otitis media, no especificada",19,20,15,17,20,28,19,20,23,15,15,26,15,18,12,13,8
"7168","H669",5302,"Otitis media, no especificada",8,6,4,4,3,4,4,2,3,1,1,2,3,2,2,2,1
"7169","H669",5304,"Otitis media, no especificada",2,3,4,6,3,5,4,1,2,5,2,2,2,2,5,3,2
"7170","H669",5501,"Otitis media, no especificada",4,3,2,4,6,5,8,5,2,5,5,3,6,6,3,5,1
"7171","H669",5601,"Otitis media, no especificada",10,4,12,7,8,9,7,5,8,5,10,10,6,6,15,8,10
"7172","H669",5701,"Otitis media, no especificada",26,42,33,28,34,33,47,29,23,16,19,11,9,20,11,14,9
"7173","H669",5702,"Otitis media, no especificada",6,7,6,8,9,10,10,9,6,3,4,2,3,5,1,3,1
"7174","H669",5703,"Otitis media, no especificada",20,18,17,9,13,21,15,14,10,24,5,3,3,8,9,8,4
"7175","H669",6101,"Otitis media, no especificada",73,79,92,86,103,66,74,27,22,18,32,23,18,25,10,17,16
"7176","H669",6108,"Otitis media, no especificada",2,13,9,4,5,5,4,4,3,5,3,1,2,4,1,4,1
"7177","H669",6115,"Otitis media, no especificada",14,8,6,10,16,11,8,4,4,6,1,5,3,4,5,1,2
"7178","H669",6301,"Otitis media, no especificada",3,5,10,4,11,11,8,4,3,2,9,5,3,7,9,6,6
"7179","H669",6303,"Otitis media, no especificada",1,4,2,6,3,4,3,3,2,1,1,3,2,3,1,1,2
"7180","H669",7101,"Otitis media, no especificada",91,92,61,40,46,90,29,25,19,47,36,14,16,21,16,18,18
"7181","H669",7201,"Otitis media, no especificada",9,12,7,7,2,5,3,1,3,4,3,8,4,2,1,6,1
"7182","H669",7301,"Otitis media, no especificada",24,13,24,17,19,22,15,5,4,6,10,8,8,7,7,10,4
"7183","H669",7401,"Otitis media, no especificada",24,36,23,12,17,29,8,26,25,22,11,11,10,12,11,10,12
"7184","H669",7404,"Otitis media, no especificada",5,15,12,13,11,7,5,5,8,4,8,4,1,1,4,4,3
"7185","H669",7406,"Otitis media, no especificada",12,15,10,11,6,6,3,6,4,8,2,2,4,2,1,1,1
"7186","H669",8101,"Otitis media, no especificada",65,41,103,82,116,94,79,66,63,47,43,43,34,30,42,49,45
"7187","H669",8102,"Otitis media, no especificada",27,31,46,38,51,57,51,51,40,26,28,34,32,22,18,37,48
"7188","H669",8103,"Otitis media, no especificada",13,21,19,19,26,16,25,19,23,26,16,24,14,17,14,13,11
"7189","H669",8104,"Otitis media, no especificada",1,3,1,7,3,3,6,5,2,5,1,3,2,1,3,5,4
"7190","H669",8105,"Otitis media, no especificada",1,6,10,4,5,4,7,10,4,3,2,10,5,3,4,3,6
"7191","H669",8106,"Otitis media, no especificada",13,20,28,37,31,36,13,13,22,12,17,22,27,21,11,27,16
"7192","H669",8107,"Otitis media, no especificada",18,22,10,9,14,13,14,16,5,11,8,5,8,7,4,5,3
"7193","H669",8108,"Otitis media, no especificada",22,29,36,46,34,28,20,37,29,22,25,21,22,17,24,34,29
"7194","H669",8109,"Otitis media, no especificada",2,5,5,2,7,6,5,8,4,3,6,2,3,4,1,1,4
"7195","H669",8110,"Otitis media, no especificada",121,99,99,91,51,48,53,50,29,30,22,46,30,39,20,21,28
"7196","H669",8111,"Otitis media, no especificada",8,14,18,12,16,20,11,17,7,5,10,18,11,7,4,5,7
"7197","H669",8201,"Otitis media, no especificada",10,4,9,4,8,4,6,5,1,4,5,9,7,10,10,2,15
"7198","H669",8202,"Otitis media, no especificada",8,11,14,23,11,10,10,8,3,4,8,5,5,13,23,14,15
"7199","H669",8203,"Otitis media, no especificada",9,4,7,6,10,22,11,20,3,5,3,3,4,5,6,10,9
"7200","H669",8205,"Otitis media, no especificada",8,19,16,13,15,10,7,13,15,6,1,5,6,8,5,7,8
"7201","H669",8301,"Otitis media, no especificada",18,21,17,27,21,19,33,27,25,12,10,12,15,11,11,8,8
"7202","H669",8401,"Otitis media, no especificada",11,21,32,23,36,16,13,9,25,13,19,21,21,11,10,5,4
"7203","H669",8416,"Otitis media, no especificada",5,9,9,6,19,13,14,8,10,8,18,10,7,12,6,11,2
"7204","H669",9101,"Otitis media, no especificada",36,44,37,27,39,24,32,28,40,34,31,17,36,37,27,23,17
"7205","H669",9102,"Otitis media, no especificada",4,2,2,9,1,3,2,6,3,2,5,1,10,5,1,7,4
"7206","H669",9111,"Otitis media, no especificada",14,5,6,4,2,6,2,4,4,5,2,2,4,2,4,3,1
"7207","H669",9112,"Otitis media, no especificada",11,5,5,9,5,3,8,8,8,5,4,2,5,6,3,4,2
"7208","H669",9201,"Otitis media, no especificada",24,31,24,14,7,9,9,8,18,15,11,14,16,10,9,6,7
"7209","H669",9210,"Otitis media, no especificada",7,4,8,6,8,1,5,4,6,3,5,2,4,6,4,4,2
"7210","H729",13114,"Perforacion de la membrana timpanica, sin otra especificacion",9,7,6,6,6,7,5,6,2,3,3,2,6,3,5,4,12
"7211","H729",2101,"Perforacion de la membrana timpanica, sin otra especificacion",1,1,5,2,5,5,19,22,25,6,3,8,5,2,4,5,2
"7212","H729",8101,"Perforacion de la membrana timpanica, sin otra especificacion",3,4,5,3,1,12,4,1,10,1,5,3,1,2,1,4,5
"7213","H738",10101,"Otros trastornos especificados de la membrana timpanica",40,33,13,21,6,11,14,15,8,5,5,7,1,1,3,4,9
"7214","H738",13114,"Otros trastornos especificados de la membrana timpanica",11,10,5,7,7,10,3,3,3,1,4,3,1,3,1,2,3
"7215","H738",13115,"Otros trastornos especificados de la membrana timpanica",4,9,10,6,8,6,3,1,1,2,1,3,3,1,1,3,1
"7216","H809",13101,"Otosclerosis, no especificada",5,1,3,3,3,2,3,1,7,1,1,6,2,2,7,2,11
"7217","H809",13110,"Otosclerosis, no especificada",3,3,4,1,5,6,2,3,2,4,4,4,10,2,1,7,6
"7218","H809",13114,"Otosclerosis, no especificada",1,3,3,4,5,5,8,3,4,3,3,11,5,9,7,6,13
